DATABASE: data\paper_trading.duckdb
ROW_COUNT: 11

id	symbol	side	entry_time	entry_price	qty	leverage	status	exit_time	exit_price	pnl	total_fees	high_water_mark	strategy_name
65	ADAUSDT	SHORT	2026-04-07 00:00:00.297645	0.2459	2541.683611224075	25	CLOSED_SL	2026-04-07 22:00:15.864678	0.248359	-7.0351562499999725	0.78515625	0.2413	ema_band_rejection
66	1000PEPEUSDT	SHORT	2026-04-07 00:00:19.842927	0.003318	188337.05357142855	25	CLOSED_SL	2026-04-07 20:00:09.750595	0.0033843600000000003	-13.286986083984397	0.788939208984375	0.003318	ema_band_rejection
67	DOGEUSDT	SHORT	2026-04-07 00:00:31.726905	0.0905	6903.08693853437	25	CLOSED_SL	2026-04-07 18:00:14.187050	0.09134962447537001	-6.6496089732691805	0.7845773546833168	0.09016	ema_band_rejection
68	AVAXUSDT	SHORT	2026-04-07 07:00:12.704964	8.577	72.76785025034296	25	CLOSED_SL	2026-04-07 20:00:18.126830	8.705654999999998	-10.14796130581297	0.786013531855213	8.558	ema_band_rejection
69	ETHUSDT	SHORT	2026-04-07 15:00:09.637135	2068.48	0.30265549222951116	25	CLOSED_SL	2026-04-07 18:00:12.285777	2092.35	-8.011447881851721	0.787061282333323	2068.48	ema_band_rejection
70	DOGEUSDT	LONG	2026-04-07 21:00:12.819430	0.09209	6678.217940569952	25	TRAILING_STOP	2026-04-08 01:00:14.125582	0.09470503000000001	16.684079060781606	0.779661200347064	0.09499	ema_band_rejection
71	1000PEPEUSDT	LONG	2026-04-07 23:00:07.395947	0.0037368	164549.87636203255	25	OPEN	NULL	NULL	NULL	0.38430623624352706	0.0037368	ema_band_rejection
72	NEARUSDT	LONG	2026-04-07 23:00:07.666475	1.331	461.8635783026031	25	TRAILING_STOP	2026-04-08 11:00:08.151604	1.36863	16.60063846909382	0.7792879824331603	1.37	ema_band_rejection
73	ETHUSDT	LONG	2026-04-07 23:00:07.783981	2219.48	0.27693170000617917	25	OPEN	NULL	NULL	NULL	0.3841527309560716	2255.37	ema_band_rejection
74	FILUSDT	LONG	2026-04-07 23:00:07.972264	0.922	46.652951757064194	5	OPEN	NULL	NULL	NULL	0.026883763450008244	0.922	ema_band_rejection
75	DOGEUSDT	LONG	2026-04-08 03:00:14.888096	0.09463	6475.723532333886	25	OPEN	NULL	NULL	NULL	0.3829985736654723	0.09493	ema_band_rejection
